name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Aeromonas dhakensis	196024	S	15	0.00000	19	0.00000	22	0.00000	0	0.00000	14	0.00000	12	0.00000
Aeromonas sp. ASNIH7	1920107	S	26	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000
Zobellella denitrificans	347534	S	385	0.00001	290	0.00001	298	0.00001	159	0.00000	271	0.00001	233	0.00001
Oceanimonas sp. GK1	511062	S	201	0.00000	142	0.00000	166	0.00000	79	0.00000	200	0.00000	99	0.00000
Oceanisphaera profunda	1416627	S	99	0.00000	72	0.00000	43	0.00000	44	0.00000	73	0.00000	78	0.00000
Oceanisphaera avium	1903694	S	72	0.00000	43	0.00000	38	0.00000	67	0.00000	76	0.00000	64	0.00000
Tolumonas auensis	43948	S	114	0.00000	96	0.00000	120	0.00000	77	0.00000	133	0.00000	86	0.00000
Cellvibrio sp. PSBB023	1945512	S	193	0.00000	82	0.00000	56	0.00000	108	0.00000	148	0.00000	122	0.00000
Cellvibrio japonicus	155077	S	178	0.00000	69	0.00000	132	0.00000	183	0.00000	177	0.00000	142	0.00000
Cellvibrio sp. PSBB006	1987723	S	152	0.00000	54	0.00000	83	0.00000	68	0.00000	158	0.00000	89	0.00000
Simiduia agarivorans	447471	S	166	0.00000	100	0.00000	110	0.00000	92	0.00000	107	0.00000	162	0.00000
Teredinibacter turnerae	2426	S	150	0.00000	83	0.00000	132	0.00000	95	0.00000	122	0.00000	105	0.00000
Saccharophagus degradans	86304	S	133	0.00000	54	0.00000	36	0.00000	64	0.00000	90	0.00000	50	0.00000
Agarilytica rhodophyticola	1737490	S	39	0.00000	105	0.00000	26	0.00000	50	0.00000	62	0.00000	70	0.00000
Microbulbifer thermotolerans	252514	S	210	0.00000	202	0.00001	144	0.00000	128	0.00000	154	0.00000	168	0.00000
Microbulbifer aggregans	1769779	S	189	0.00000	173	0.00000	273	0.00001	116	0.00000	154	0.00000	154	0.00000
Microbulbifer agarilyticus	260552	S	98	0.00000	75	0.00000	49	0.00000	52	0.00000	80	0.00000	54	0.00000
Microbulbifer sp. A4B17	359370	S	88	0.00000	39	0.00000	31	0.00000	51	0.00000	55	0.00000	61	0.00000
Oceanicoccus sagamiensis	716816	S	274	0.00000	52	0.00000	16	0.00000	45	0.00000	91	0.00000	128	0.00000
Spongiibacter sp. IMCC21906	1620392	S	103	0.00000	66	0.00000	73	0.00000	74	0.00000	110	0.00000	109	0.00000
Zhongshania aliphaticivorans	1470434	S	66	0.00000	58	0.00000	41	0.00000	38	0.00000	86	0.00000	42	0.00000
Halioglobus japonicus	930805	S	113	0.00000	73	0.00000	75	0.00000	51	0.00000	99	0.00000	76	0.00000
Halioglobus pacificus	930806	S	111	0.00000	32	0.00000	70	0.00000	55	0.00000	49	0.00000	39	0.00000
